part_number,manufacturer,category,description,availability,price,datasheet_url,product_url
B43505A9107M002,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400VDC 100uF 20% PVC 3 Terms 4.5mm,496 在庫,"¥1,033.4",https://www.mouser.com/catalog/specsheets/tdk_B41505__B43505.pdf,https://www.mouser.jp/ProductDetail/TDK/B43505A9107M002?qs=f4aWRLuQiuxffQcmbKLXfA%3D%3D
865060543005,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLL 47uF 35V 20% SMD/SMT,35886 在庫,¥53.8,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865060543005?qs=0KOYDY2FL29pKd1yRWsrOw%3D%3D
REH1620681M050B,KYOCERA AVX,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 50V 680uF 1620 20% R adial,440 在庫,¥308.1,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/REH1620681M050B?qs=Y0Uzf4wQF3mmFwK4W9Vniw%3D%3D
ELH227M400AS2AV,KEMET,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400V 220uF 20% 85C Radial,686 在庫,¥991,https://www.mouser.com/datasheet/3/72/1/ELH227M400AS2AV.pdf,https://www.mouser.jp/ProductDetail/KEMET/ELH227M400AS2AV?qs=gt1LBUVyoHkpN%252BwKS%2FOtFw%3D%3D
MAL203037159E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 40V 15uF 20%,2961 在庫,¥295,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL203037159E3?qs=4T%252B5yYZyZYfec1H5DEl9vw%3D%3D
MAL225742102E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 1000uF 200V 25x45mm,540 在庫,"¥1,613.7",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL225742102E3?qs=xZ%2FP%252Ba9zWqb4PdE8CFwP7Q%3D%3D
MAL214699101E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 47uF 50V 20%,10119 在庫,¥448.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214699101E3?qs=Ep9Lwju7gVqdVUjofflGAQ%3D%3D
MAL214050102E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 1000uF 35V 20% Radial,895 在庫,¥725.4,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214050102E3?qs=aJI9t0tCUiXQ%2FGA5gVUIVg%3D%3D
MAL213826221E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 220uF 25V 20% Axial,1646 在庫,¥598.2,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL213826221E3?qs=cAZGeXF9iMo8SEW3rjSOGw%3D%3D
MAL202134221E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 220uF 10V 20% Axial,3897 在庫,¥277.1,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202134221E3?qs=guUVZXnex6cUoyOcRWE07g%3D%3D
MAL202116102E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 1000uF 25V 20% Axial,1126 在庫,¥712.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202116102E3?qs=IODwLvXzwT1Hb3sKaskJ2A%3D%3D
MAL202137331E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 330uF 40V 20% Axial,2353 在庫,¥668.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202137331E3?qs=cR7Qvk1oinnuxxmahVkuEQ%3D%3D
MAL202138339E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 33uF 63V 20% Axial,8442 在庫,¥365.1,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202138339E3?qs=hMvNqCV5SUb888dzd%2FdP8A%3D%3D
EXV476M025A9GAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 25V 47uF 20%,25135 在庫,¥57.1,https://www.mouser.com/datasheet/3/508/1/EXV476M025A9GAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EXV476M025A9GAA?qs=Z46kSA%2FmtFiATCiTFCtQdA%3D%3D
ALS70A202KE400,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 400V 2000uF 20% 18000Hrs,81 在庫,"¥5,343.1",https://www.mouser.com/datasheet/3/72/1/KEM_A4075_ALS70_71.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS70A202KE400?qs=AQlKX63v8Ru2%2FlsAO8UeSQ%3D%3D
EDH108M035S9TAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 35V 1KuF AEC-Q200 20% 105C/2K Hours,2581 在庫,¥386.3,https://www.mouser.com/datasheet/3/508/1/KEM_A4049_EDH.pdf,https://www.mouser.jp/ProductDetail/KEMET/EDH108M035S9TAA?qs=E9QF1UCAUX6ALPZxnjZKnA%3D%3D
ALS30A682DF100,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 100volts 6800uF 20%,103 在庫,"¥4,291.8",https://www.mouser.com/datasheet/3/72/1/ALS30A682DF100.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS30A682DF100?qs=P8MLx3uqQOiWt1o0gUzQIQ%3D%3D
ALS31A471DF450,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 470uF 450VDC 20%,137 在庫,"¥3,709.9",https://www.mouser.com/datasheet/3/72/1/KEM_A4031_ALS30_31.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS31A471DF450?qs=4efEf%2FjP6omQgxRHR%2FOfNw%3D%3D
ELH477M400AT4AA,KEMET,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 470uF 400V 20% 85C Snap in 35x40,831 在庫,"¥1,475.2",https://www.mouser.com/datasheet/3/72/1/ELH477M400AT4AA.pdf,https://www.mouser.jp/ProductDetail/KEMET/ELH477M400AT4AA?qs=Z46kSA%2FmtFg9A30a9RUNyg%3D%3D
ELH109M050AS5AA,KEMET,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 10000uF 50V 20% 85C Snap in 30x45,1358 在庫,¥976.4,https://www.mouser.com/datasheet/3/72/1/ELH109M050AS5AA.pdf,https://www.mouser.jp/ProductDetail/KEMET/ELH109M050AS5AA?qs=Z46kSA%2FmtFiWXcFHdggLBQ%3D%3D
MAL202124471E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 470uF 10V 20% Axial,2132 在庫,¥443.4,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202124471E3?qs=hMvNqCV5SUaiZmQYPDntAQ%3D%3D
MAL211829109E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 100V 10uF 20%,1531 在庫,¥681.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL211829109E3?qs=pM1VCyfkp0CZWxUdkcej0w%3D%3D
A958AL112M800S,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 800V 1100uF 20% 9KHr -40/105C ESR=125mOhms,16 在庫,"¥16,940.6",https://www.mouser.com/datasheet/3/508/1/KEM_A4109_A958.pdf,https://www.mouser.jp/ProductDetail/KEMET/A958AL112M800S?qs=vvQtp7zwQdPdQC78gjFd7w%3D%3D
B43545B5397M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 450VDC 390uF 20% PVC STD 6.3mm Term,999 在庫,"¥2,357",,https://www.mouser.jp/ProductDetail/TDK/B43545B5397M000?qs=GG15fDrrStr7oeYOOODgxg%3D%3D
B43547C5227M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 450VDC 220uF 20% PVC STD 6.3mm Term,426 在庫,"¥1,674",,https://www.mouser.jp/ProductDetail/TDK/B43547C5227M000?qs=OiaALIbqWFTGRjvaC3I3XA%3D%3D
B43508B5477M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 450VDC 470uF 20% PVC STD 6.3mm Term,226 在庫,"¥4,231.5",,https://www.mouser.jp/ProductDetail/TDK/B43508B5477M000?qs=qPUKiRLrJPGW3mSQeUpMWA%3D%3D
MAL214097003E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 68uF 35volts 20%,1901 在庫,¥397.7,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214097003E3?qs=aJI9t0tCUiUqueLk1JXr6Q%3D%3D
MAL211817222E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 2200uF 20% 40volts,523 在庫,"¥2,117.4",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL211817222E3?qs=pM1VCyfkp0C2mKT0jeoztw%3D%3D
MAL202135151E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 150uF 16V 20% Axial,2811 在庫,¥370,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202135151E3?qs=hMvNqCV5SUYXE0qWlteNHQ%3D%3D
MAL202133471E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 470uF 6.3V 20% Axial,2394 在庫,¥430.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202133471E3?qs=HIKTYMuL%252B9NJuSDpjy7Hiw%3D%3D
MAL202190532E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 100uF 100V 20% Axial,2489 在庫,¥564,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202190532E3?qs=KQJA%252BRRrFWdzvZBgu2YKvA%3D%3D
MAL215946221E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 220uF 400V 25x45mm,927 在庫,"¥2,523.2",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215946221E3?qs=R62HgyKaTt8KUbAzhMKpfA%3D%3D
865060653009,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLL 68uF 50V 20% SMD/SMT,11131 在庫,¥119,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865060653009?qs=0KOYDY2FL29cUfMaALLuRA%3D%3D
865060563011,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLL 1000uF 35V 20% SMD/SMT,1287 在庫,¥502,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865060563011?qs=0KOYDY2FL28PKNvtyLJsGg%3D%3D
EDH158M6R3A9PAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 6.3V 1500uF 20%,13051 在庫,¥89.7,https://www.mouser.com/datasheet/3/72/1/EDH158M6R3A9PAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EDH158M6R3A9PAA?qs=E9QF1UCAUX7l%2FroJlLmDcQ%3D%3D
EDH106M025A9BAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 25V 10uF 20%,32730 在庫,¥34.2,https://www.mouser.com/datasheet/3/508/1/EDH106M025A9BAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EDH106M025A9BAA?qs=E9QF1UCAUX7cby49B%252BI%252BfQ%3D%3D
MAL215757689E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 450V 68uF 20%,675 在庫,"¥1,522.4",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215757689E3?qs=qmStTZH4TzmtLP9MYF9Clw%3D%3D
MAL229956222E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 2200uF 400V 45x100,73 在庫,"¥12,151.7",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL229956222E3?qs=reC3wrXoIlzYEsE2ULBaQA%3D%3D
MAL219390102E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 330uF 500V 20% 105oC 5000H 35x40mm,578 在庫,"¥2,795.5",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL219390102E3?qs=X0eQqesbiyjuphmBVHe19w%3D%3D
MAL213833222E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 2200uF 6.3V 20% Axial,1208 在庫,¥476,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL213833222E3?qs=3xGhc7tteJWZIENBuo5WOw%3D%3D
MAL212015222E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 2200uF 16V 20% Axial,873 在庫,"¥1,160.6",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL212015222E3?qs=XH5yPjCcUoWxF42q5PvYsA%3D%3D
MAL212015102E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 1000uF 16V 20% Axial,1335 在庫,¥886.7,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL212015102E3?qs=9CkSMcl0Kjmkd%252BGJt7Gb1w%3D%3D
MAL212015472E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 4700uF 16V 20% Axial,863 在庫,"¥1,770.2",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL212015472E3?qs=hMvNqCV5SUbXv%2Fg78o%252BA1g%3D%3D
EEV226M050S9GAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 50V 22uF 20% AEC-Q200,49026 在庫,¥52.2,https://www.mouser.com/datasheet/3/72/1/EEV226M050S9GAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EEV226M050S9GAA?qs=E9QF1UCAUX6T92Wky0Sqsg%3D%3D
ALP22A103CB040,KEMET,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 40V 10000uF 85C 18k Hour Radial,285 在庫,"¥2,035.9",https://www.mouser.com/datasheet/3/72/1/ALP22A103CB040.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALP22A103CB040?qs=BmXAkaUQjrTNRabnCX4d5Q%3D%3D
EEU-FK1C472S,Panasonic,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 16VDC 4700uF 20% AEC-Q200,2025 在庫,¥531.4,,https://www.mouser.jp/ProductDetail/Panasonic/EEU-FK1C472S?qs=u16ybLDytRYbtrnk94yE1g%3D%3D
MAL205943331E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 330UF 250V,620 在庫,"¥2,350.5",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL205943331E3?qs=WyvL69DJJa8wCJmmf9AWaw%3D%3D
MAL205756101E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 100uF 400volts,514 在庫,"¥1,742.5",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL205756101E3?qs=r0NmvwWPm2xK1xol2EjUJg%3D%3D
MAL215937101E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 100uF 450V 22x40mm,1007 在庫,"¥2,052.2",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL215937101E3?qs=R62HgyKaTt%252BEgwU0IrV6YA%3D%3D
EEU-FS2A390B,Panasonic,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 100VDC 39uF 590mA Polar,7369 在庫,¥133.7,https://www.mouser.com/catalog/specsheets/Panasonic_08082018_Capacitor Radial Leaded Lytic (EEU-FS) 020118.pdf,https://www.mouser.jp/ProductDetail/Panasonic/EEU-FS2A390B?qs=w%2Fv1CP2dgqr1gxYWmNLjPw%3D%3D
TVA1803.1,Vishay / Sprague,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 16uf 475V,5501 在庫,"¥3,615.3",,https://www.mouser.jp/ProductDetail/Vishay-Sprague/TVA1803.1?qs=RwZLobMEnUzg45ufGj4aJw%3D%3D
MAL202129479E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 47uF 100V 20% Axial,1946 在庫,¥493.9,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202129479E3?qs=pLI900sz1U46akJ0iNX47g%3D%3D
MAL202190518E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 1000uF 16V 20% Axial,2320 在庫,¥669.9,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202190518E3?qs=KQJA%252BRRrFWfMxOgbGN%2FRNg%3D%3D
MAL212617331E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 330uF 40V 10x30,1591 在庫,¥658.5,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL212617331E3?qs=GedFDFLaBXFm%2FNh86gxzIg%3D%3D
B43504A2227M,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 250VDC 220uF 20% PVC STD 6.3mm Term,703 在庫,¥911.2,,https://www.mouser.jp/ProductDetail/TDK/B43504A2227M?qs=JVlt8SiEC9ParH%2Fw%2FQrndw%3D%3D
B43504A9227M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400VDC 220uF 20% PVC STD 6.3mm Term,499 在庫,"¥1,489.8",https://www.mouser.com/catalog/specsheets/epco-s-a0000009109-1.pdf,https://www.mouser.jp/ProductDetail/TDK/B43504A9227M000?qs=brqxNzf12%252BLRWQoh68MfzA%3D%3D
B43504A2108M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 250VDC 1000uF 20% PVC STD 6.3mm Term,209 在庫,"¥3,010.6",https://www.mouser.com/catalog/specsheets/epcos11418-1.pdf,https://www.mouser.jp/ProductDetail/TDK/B43504A2108M000?qs=brqxNzf12%252BIp8WJLeb2f5Q%3D%3D
MAL214651222E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 2200uF 20% 50volts,745 在庫,"¥1,154",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214651222E3?qs=oD%252BgjdMRx%252BUVnBzGAEu%252Byw%3D%3D
MAL202115152E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 1500uF 16V 20% Axial,906 在庫,¥683,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202115152E3?qs=cR7Qvk1oinn%2FncZScEdjCg%3D%3D
MAL202134331E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 330uF 10V 20% Axial,2945 在庫,¥440.1,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202134331E3?qs=hMvNqCV5SUaCNGnN9%252Bioqw%3D%3D
MAL202135681E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 680uF 16V 20% Axial,1705 在庫,¥539.5,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202135681E3?qs=IODwLvXzwT0%252BUVw1r9A%2FMA%3D%3D
MAL202139339E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 33uF 100V 20% Axial,1827 在庫,¥430.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202139339E3?qs=822%252BXB1WXnIz39VR%2F%2F1AcQ%3D%3D
MAL202126151E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 150uF 25V 20% Axial,1928 在庫,¥443.4,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202126151E3?qs=herSbFlu8j2mWkl8pS0lIg%3D%3D
EXV105M050A9BAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 50V 1uF 20%,27716 在庫,¥68.5,https://www.mouser.com/datasheet/3/72/1/EXV105M050A9BAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EXV105M050A9BAA?qs=87sMTGlwm57GuiZt7rQgSw%3D%3D
EDH228M025S9TAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 25V 2200uF 20% AEC-Q200,2706 在庫,¥329.3,https://www.mouser.com/datasheet/3/508/1/KEM_A4049_EDH.pdf,https://www.mouser.jp/ProductDetail/KEMET/EDH228M025S9TAA?qs=E9QF1UCAUX50ohUxWC53%252BQ%3D%3D
ALS70A132KE500,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 500V 1300uF 20% 18000Hrs,93 在庫,"¥4,229.9",https://www.mouser.com/datasheet/3/72/1/KEM_A4075_ALS70_71.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS70A132KE500?qs=AQlKX63v8RswKN20NOlUsg%3D%3D
ALS70A243QT350,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 350V 24000uF 20% 20000Hrs,40 在庫,"¥27,051.5",https://www.mouser.com/datasheet/3/72/1/ALS70A243QT350.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS70A243QT350?qs=AQlKX63v8RubBRvKplS8Gg%3D%3D
ALS70A513NF100,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 100V 51000uF 20% 20000Hrs,65 在庫,"¥10,300",https://www.mouser.com/datasheet/3/72/1/ALS70A513NF100.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS70A513NF100?qs=AQlKX63v8RvblInItdyg3g%3D%3D
B43644C9227M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400VDC 220uF 20% PVC STD 6.3mm Term,2057 在庫,"¥1,361.1",,https://www.mouser.jp/ProductDetail/TDK/B43644C9227M000?qs=BZBei1rCqCAFD%252BucGDYo1g%3D%3D
MAL205858472E3,Vishay / BC Components,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 4700uF 63V 35x40mm,601 在庫,"¥3,002.5",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL205858472E3?qs=r0NmvwWPm2xBicKj%2F%252B9UYw%3D%3D
EXV157M010A9HAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 10V 150uF 20%,9360 在庫,¥79.9,https://www.mouser.com/datasheet/3/72/1/EXV157M010A9HAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EXV157M010A9HAA?qs=E9QF1UCAUX7COvzq6kFuaw%3D%3D
MAL213814103E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 10000uF 10V 20% Axial,2943 在庫,"¥1,318.7",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL213814103E3?qs=aJI9t0tCUiXqxDP2G%252BXWlQ%3D%3D
MAL213815222E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 2200uF 16V 20% Axial,767 在庫,¥808.5,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL213815222E3?qs=cAZGeXF9iMojQtlvCNvWkw%3D%3D
MAL212026102E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 1000uF 25V 20% Axial,950 在庫,"¥1,067.7",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL212026102E3?qs=%252BXAg%2Fou%2FU06wFrRp%252BegAqw%3D%3D
MAL213815332E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 3300uF 16V 20% Axial,801 在庫,¥963.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL213815332E3?qs=cAZGeXF9iMo9K4EnZUWnTg%3D%3D
